"Home","Away","Field","Age.Group","Gender"
"NC Fusion ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","BP Field - BP 07","U18","Girls"
"NCFC Youth ECNL U18/U19","South Carolina United ECNL U18/U19","Bryan Park - Field 11","U18","Girls"
"Carolina Rapids ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","Bailey Road Park - Field 2 (lower)","U18","Girls"
"NC Fusion ECNL U18/U19","McLean YSA ECNL U18/U19","BP Field - BP 02 Triton Management","U18","Girls"
"Richmond United ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","River City Sportsplex - Field 12","U18","Girls"
"NC Fusion ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","BP Field - BP 03 Wrangler","U18","Girls"
"Carolina Rapids ECNL U18/U19","McLean YSA ECNL U18/U19","Ramblewood - Field 8","U18","Girls"
"Richmond United ECNL U18/U19","South Carolina United ECNL U18/U19","River City Sportsplex - Field 12","U18","Girls"
"NCFC Youth ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","Bryan Park - Field 11","U18","Girls"
"South Carolina United ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","River Bluff High School Stadium - Stadium","U18","Girls"
"Carolina Rapids ECNL U18/U19","NC Fusion ECNL U18/U19","Bailey Road Park - Field 2 (lower)","U18","Girls"
"Carolina Elite Soccer Academy ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","Mesa Complex - Field 5","U18","Girls"
"Richmond United ECNL U18/U19","Carolina Rapids ECNL U18/U19","Ukrop Park - Turf Field 1","U18","Girls"
"South Carolina United ECNL U18/U19","McLean YSA ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A","U18","Girls"
"NCFC Youth ECNL U18/U19","NC Fusion ECNL U18/U19","WRAL Soccer Center - Stadium","U18","Girls"
"Carolina Elite Soccer Academy ECNL U18/U19","McLean YSA ECNL U18/U19","Mesa Complex - Field 5","U18","Girls"
"Richmond United ECNL U18/U19","NC Fusion ECNL U18/U19","Ukrop Park - Turf Field 1","U18","Girls"
"NCFC Youth ECNL U18/U19","Carolina Rapids ECNL U18/U19","WRAL Soccer Center - Stadium","U18","Girls"
"South Carolina United ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A","U18","Girls"
"BRYC Elite Academy ECNL U18/U19 Composite","Carolina Rapids ECNL U18/U19 Composite","Robinson High School - Upper Turf","U19","Girls"
"Carolina Rapids ECNL U18/U19 Composite","BRYC Elite Academy ECNL U18/U19 Composite","Bailey Road Park - Field 1 (upper)","U19","Girls"
