"GEOID","White.Percent","Minority.Percent","Black.Percent","American.Indian.Percent","Asian.Percent","Pacific.Islander.Percent","Hispanic.Percent","Poverty.Rate","Household.Income","HHI.Factor"
"51027010200",97.3566878980892,2.64331210191083,0,0,1.24203821656051,0,0,40.6,29175,"$25,000-49,999"
"51027010300",99.5688327687096,0.431167231290419,0,0,0.431167231290422,0,0,28.5,32207,"$25,000-49,999"
"51027010400",95.3181818181818,4.68181818181819,3.09090909090909,0.727272727272727,0,0,0,24.8,26544,"$25,000-49,999"
"51027010500",90.4580152671756,9.54198473282443,0.763358778625954,0,0,0,0,30.4,36250,"$25,000-49,999"
"51027010600",87.7982779827798,12.2017220172202,9.59409594095941,0.1230012300123,0.836408364083641,0,0.984009840098401,8.8,32465,"$25,000-49,999"
"51027010700",99.7906976744186,0.209302325581395,0,0,0.209302325581395,0,0,38.3,30020,"$25,000-49,999"
"51029930101",65.0767798976268,34.9232201023732,28.6644951140065,0,0.418799441600745,0,3.23406235458353,13.4,44792,"$25,000-49,999"
"51029930102",57.0146276595745,42.9853723404255,42.6529255319149,0,0,0,0.332446808510638,37.2,40788,"$25,000-49,999"
"51029930201",55.4845774776419,44.5154225223581,40.2263186712904,0.419784632232159,0.365030114984486,0.200766563241467,1.25935389669648,23.7,41993,"$25,000-49,999"
"51029930202",66.6195524146054,33.3804475853946,25.8892815076561,0,0.871613663133098,0,4.35806831566549,27.5,49750,"$25,000-49,999"
"51031020101",75.5346896191967,24.4653103808033,17.6143279429664,0,1.00852025734655,0,5.320813771518,3,55823,"$50,000-74,999"
"51031020102",88.0979369757425,11.9020630242575,8.29743822262525,0.294717751076853,0.430741328496939,0,0.589435502153707,6.7,45956,"$25,000-49,999"
"51031020200",86.0794157918759,13.9205842081241,10.5659516202647,0,0.136923779096303,0,0.182565038795071,28.8,40634,"$25,000-49,999"
"51031020300",79.4520547945205,20.5479452054795,6.99608610567515,0,4.08512720156556,0.318003913894325,1.90802348336595,9.4,52593,"$50,000-74,999"
"51031020401",77.8023191606847,22.1976808393153,12.921038100497,0,0.570587152586048,0,3.0001840603718,15.5,41394,"$25,000-49,999"
"51031020402",91.0300030931024,8.96999690689761,2.93844726260439,0,1.26817197649242,0,2.10330961954841,9.6,56436,"$50,000-74,999"
"51031020403",85.3104405133542,14.6895594866459,11.0475199445023,0,1.26604231703087,0,1.61290322580645,7.3,59000,"$50,000-74,999"
"51031020500",84.1143764892772,15.8856235107228,13.0129732592004,0.503044744506222,0,0,1.60180037066455,14,47216,"$25,000-49,999"
"51031020600",92.1917808219178,7.80821917808219,4.87671232876712,0,0,0.219178082191781,0.904109589041096,26.7,50484,"$50,000-74,999"
"51031020700",64.8936170212766,35.1063829787234,28.8384128809661,0,1.29384703852789,0,3.99654974123059,39,34250,"$25,000-49,999"
"51031020800",74.5348837209302,25.4651162790698,20.8720930232558,0.261627906976744,0,0,0.755813953488372,27.6,39960,"$25,000-49,999"
"51031020900",62.3741935483871,37.6258064516129,32.258064516129,0,0.232258064516129,0,0.696774193548387,10.8,41847,"$25,000-49,999"
"51033030100",62.8076572470374,37.1923427529626,25.3236098450319,0.0182315405651778,1.45852324521422,0,8.69644484958979,25.2,50076,"$50,000-74,999"
"51033030201",52.3294819232203,47.6705180767797,38.3153186731271,0,0.298173686172195,0,3.09355199403653,12.9,62153,"$50,000-74,999"
"51033030202",68.5945633314054,31.4054366685946,25.0433776749566,0,0,0,0,25.7,51514,"$50,000-74,999"
"51033030300",67.8687459389214,32.1312540610786,25.9909031838856,0.227420402858999,0.55230669265757,0,2.43664717348928,13.6,50066,"$50,000-74,999"
"51033030400",66.9756662804171,33.0243337195829,24.9710312862109,0,3.41830822711472,0,0.52143684820394,27.3,47404,"$25,000-49,999"
"51033030500",68.6864370566618,31.3135629433382,23.7244679941885,0.811896419109478,0.632424579095804,0,4.55516622510897,14.2,61778,"$50,000-74,999"
"51033030600",46.6954910438542,53.3045089561458,48.0852378011118,1.08091414453366,0,0,1.51327980234713,19.9,61140,"$50,000-74,999"
"51035080100",97.8944246737841,2.10557532621589,0,0,0,0,2.1055753262159,13.6,37819,"$25,000-49,999"
"51035080200",96.9859343603483,3.01406563965171,0.535833891493637,0,0.133958472873409,0,2.16566197812012,9,32326,"$25,000-49,999"
"51035080300",92.149884864978,7.85011513502198,1.06761565836299,0,0,0,5.92422022189659,15.9,36348,"$25,000-49,999"
"51035080400",93.8369781312127,6.16302186878728,1.13862280860293,0,0.795228628230616,0,2.96403397795048,26,43644,"$25,000-49,999"
"51035080500",95.844930417495,4.15506958250497,0.457256461232604,0,0.457256461232604,0,2.76341948310139,16.9,40761,"$25,000-49,999"
"51035080601",96.797153024911,3.20284697508897,0,0,0,0,2.44026436197255,29,32250,"$25,000-49,999"
"51035080602",95.3224043715847,4.6775956284153,0.918032786885246,0,0,0,1.66120218579235,27.7,35603,"$25,000-49,999"
"51036600100",46.3712491277041,53.6287508722959,41.8004187020237,4.25680390788555,1.39567341242149,0,2.37264480111654,27,58056,"$50,000-74,999"
"51036600200",28.1372123317412,71.8627876682588,51.7585757707338,12.4620060790274,0.390794615718628,0,2.21450282240556,17.9,52431,"$50,000-74,999"
"51036600300",48.5133020344288,51.4866979655712,48.8784559207094,1.82576943140323,0.365153886280647,0,0.417318727177882,21.9,51838,"$50,000-74,999"
"51037930100",64.1856060606061,35.8143939393939,34.1856060606061,0.0189393939393939,0,0,0.113636363636364,36.5,35453,"$25,000-49,999"
"51037930200",62.7630685675492,37.2369314324508,34.0801086218601,0.373387644263408,0.305498981670061,0,2.07060420909708,27.2,31539,"$25,000-49,999"
"51037930300",74.6879680479281,25.3120319520719,23.489765351972,0.224663005491762,0.17473789316026,0,1.22316525212182,29.3,34102,"$25,000-49,999"
"51041100106",84.3214756258235,15.6785243741766,6.91699604743083,0,1.48221343873518,0,5.33596837944664,3.1,98393,"$75,000-99,999"
"51041100107",32.0567986230637,67.9432013769363,40.447504302926,0.215146299483649,3.44234079173838,0,17.0826161790017,33.6,39567,"$25,000-49,999"
"51041100205",18.3609709204518,81.6390290795482,48.7983657774573,0.156212448930546,2.27108868060562,0,28.3705839942322,10.1,46270,"$25,000-49,999"
"51041100206",43.5887919836704,56.4112080163296,32.4550009278159,0,1.31749860827612,0.35257005010206,15.2532937465207,0,69279,"$50,000-74,999"
"51041100208",76.4825345247766,23.5174654752234,10.0324939073924,0,7.55483346872461,0,4.18359057676686,16.3,89583,"$75,000-99,999"
"51041100209",49.3907392363932,50.6092607636068,40.4061738424045,0,0.552396425670187,0.454914703493095,6.74248578391552,9.6,68269,"$50,000-74,999"
"51041100210",50.858123569794,49.141876430206,29.7482837528604,0.28604118993135,1.94508009153318,0,10.6407322654462,4.2,50417,"$50,000-74,999"
"51041100300",38.3489223261488,61.6510776738512,28.1008540056934,0,0,0,29.4428629524197,39.6,38278,"$25,000-49,999"
"51041100403",58.9543937708565,41.0456062291435,18.9840563589173,0.352243233222099,15.6284760845384,0,2.76232851316277,16.7,80000,"$75,000-99,999"
"51041100404",28.3575105287787,71.6424894712213,18.5774450163781,0,3.64997660271409,0,45.3439401029481,41.8,26359,"$25,000-49,999"
"51041100405",25.4474708171206,74.5525291828794,20.6614785992218,2.84046692607004,0.194552529182879,0,47.9766536964981,41.2,39013,"$25,000-49,999"
"51041100406",24.1235392320534,75.8764607679466,54.0901502504174,0,1.0016694490818,0,11.5191986644407,46.5,22258,"Under $25,000"
"51041100407",58.4888059701493,41.5111940298507,24.160447761194,0.901741293532338,2.36318407960199,0,12.0957711442786,12,48727,"$25,000-49,999"
"51041100409",76.1221331082032,23.8778668917968,13.0153369916983,0,1.4211340931476,0,5.92373716054594,0,70757,"$50,000-74,999"
"51041100410",48.974609375,51.025390625,43.06640625,0,1.5625,0,2.392578125,11.4,43869,"$25,000-49,999"
"51041100505",66.4404357921057,33.5595642078943,25.2723700660832,0.214323986426148,0.946597606715485,0,4.80442936238614,15.6,72778,"$50,000-74,999"
"51041100506",55.2570768341999,44.7429231658001,20.739456961294,0,1.15540150202195,0,18.8474870017331,2.4,60521,"$50,000-74,999"
"51041100507",62.4143070044709,37.5856929955291,22.5037257824143,0.864381520119225,1.92250372578241,0,8.34575260804769,9.8,92851,"$75,000-99,999"
"51041100508",47.815396254965,52.184603745035,41.1386419519576,0.226971817665973,2.51560431246454,0,5.37166635142803,4,62585,"$50,000-74,999"
"51041100509",64.4384264538198,35.5615735461802,24.9429874572406,0,2.97890535917902,0,4.80330672748005,2.7,86750,"$75,000-99,999"
