"TeamID","Age.Group","Gender","LeagueID","TotalCost","CoachPaid","TotalGames","TotalTime","TotalDistance","AwayGames","WeightedCost","WeightedTime","WeightedDistance","LeagueTier"
"51032009","U16","Boys","LG0005",1050,"TRUE",8,376.8,321.086107134336,3,525,502,428,"Tier 4"
"51032010","U18","Boys","LG0005",1050,"TRUE",9,549.433333333333,442.161526684165,4,466.67,549,442,"Tier 4"
"51032011","U18","Girls","LG0005",1050,"TRUE",9,750.166666666667,673.541517537581,5,466.67,600,539,"Tier 4"
"51032012","U19","Boys","LG0005",1050,"TRUE",9,693.966666666667,582.751729897399,5,466.67,555,466,"Tier 4"
"51032013","U18","Boys","LG0005",1050,"TRUE",9,759.133333333333,679.570060844667,5,466.67,607,544,"Tier 4"
"51036001","U14","Boys","LG0003",300,"FALSE",9,1274.23333333333,1319.72157599618,6,133.33,849,880,"Tier 4"
"51036002","U16","Boys","LG0003",300,"FALSE",8,703.066666666667,745.207985365466,4,150,703,745,"Tier 4"
"51036003","U12","Boys","LG0003",300,"FALSE",8,866.733333333333,906.556957368965,4,150,867,907,"Tier 4"
"51038001","U11","Boys","LG0003",1350,"FALSE",8,429.1,328.267915374215,4,675,429,328,"Tier 4"
"51038010","U19","Boys","LG0005",2000,"FALSE",9,501.033333333333,383.921647578144,6,888.89,334,256,"Tier 4"
"51038011","U15","Boys","LG0005",1200,"FALSE",9,597.566666666667,452.856567644953,5,533.33,478,362,"Tier 4"
"51040080","U19","Girls","LG0004",1800,"TRUE",10,589.9,560.751461465044,4,720,590,561,"Tier 2"
"51040081","U19","Boys","LG0004",1800,"TRUE",8,545.2,527.598822874413,4,900,545,528,"Tier 2"
"51040082","U18","Girls","LG0004",1925,"TRUE",9,682.6,667.416040324505,5,855.56,546,534,"Tier 2"
"51040083","U18","Boys","LG0004",1925,"TRUE",8,590.833333333333,586.857750735704,4,962.5,591,587,"Tier 2"
"51040084","U17","Girls","LG0004",2125,"TRUE",9,568.433333333333,556.473942177682,4,944.44,568,556,"Tier 2"
"51040085","U17","Boys","LG0004",2125,"TRUE",9,590.833333333333,586.857750735704,4,944.44,591,587,"Tier 2"
"51040086","U16","Girls","LG0004",2225,"TRUE",8,495.3,497.308219995228,3,1112.5,660,663,"Tier 2"
"51040088","U16","Boys","LG0004",2225,"TRUE",13,602.5,599.486498846735,4,684.62,602,599,"Tier 2"
"51040089","U15","Girls","LG0004",2390,"TRUE",9,825.8,769.694981309155,6,1062.22,551,513,"Tier 2"
"51040090","U15","Girls","LG0013",2290,"TRUE",8,324.666666666667,268.595154298894,4,1145,325,269,"Tier 3"
"51040091","U15","Boys","LG0004",2390,"TRUE",9,838.733333333333,785.39081762507,6,1062.22,559,524,"Tier 2"
"51040092","U15","Boys","LG0013",2290,"TRUE",7,251.533333333333,209.42943211644,3,1308.57,335,279,"Tier 3"
"51040093","U14","Girls","LG0004",2490,"TRUE",9,695.866666666667,660.072675574644,5,1106.67,557,528,"Tier 2"
"51040094","U14","Girls","LG0013",2490,"TRUE",7,192.433333333333,159.304660781039,2,1422.86,385,319,"Tier 3"
"51040095","U14","Boys","LG0004",2490,"TRUE",9,838.733333333333,785.39081762507,6,1106.67,559,524,"Tier 2"
"51040096","U14","Boys","LG0013",2490,"TRUE",8,427.9,380.392259206236,4,1245,428,380,"Tier 3"
"51040097","U13","Girls","LG0004",2490,"TRUE",9,838.733333333333,785.39081762507,6,1106.67,559,524,"Tier 2"
"51040098","U13","Girls","LG0013",2490,"TRUE",8,425.433333333333,376.624264296508,4,1245,425,377,"Tier 3"
"51040099","U13","Boys","LG0004",2490,"TRUE",9,695.866666666667,660.072675574644,5,1106.67,557,528,"Tier 2"
"51040100","U13","Boys","LG0013",2490,"TRUE",8,335.133333333333,280.522995705082,4,1245,335,281,"Tier 3"
"51040101","U12","Girls","LG0004",2425,"TRUE",9,840.933333333333,783.904497733238,6,1077.78,561,523,"Tier 2"
"51040102","U12","Girls","LG0013",2425,"TRUE",8,323.033333333333,267.571134574087,4,1212.5,323,268,"Tier 3"
"51040103","U12","Boys","LG0004",2425,"TRUE",9,840.933333333333,783.904497733238,6,1077.78,561,523,"Tier 2"
"51040104","U12","Boys","LG0013",2425,"TRUE",8,323.033333333333,267.571134574087,4,1212.5,323,268,"Tier 3"
"51040105","U11","Girls","LG0004",2425,"TRUE",9,698.066666666667,658.586355682812,5,1077.78,558,527,"Tier 2"
"51040106","U11","Girls","LG0013",2425,"TRUE",8,310.566666666667,254.414220949654,4,1212.5,311,254,"Tier 3"
"51040107","U11","Boys","LG0004",2425,"TRUE",9,840.933333333333,783.904497733238,6,1077.78,561,523,"Tier 2"
"51040108","U11","Boys","LG0013",2425,"TRUE",8,323.033333333333,267.571134574087,4,1212.5,323,268,"Tier 3"
"51041001","U10","Boys","LG0003",1200,"TRUE",8,394.266666666667,293.602859301678,4,600,394,294,"Tier 4"
"51041002","U16","Boys","LG0003",1450,"TRUE",8,314.866666666667,279.65307603595,4,725,315,280,"Tier 4"
