"Home","Away","Field","Age.Group","Gender"
"Beach FC Scorpions U11 Boys TASL","TSA Rovers FC U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"Beach FC Dragons U11 Boys TASL","TSA Rovers FC U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"CSL Famous Strikers U11 Boys TASL","Beach FC Ninjas U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"TSA Rovers FC U11 Boys TASL","CSL Famous Strikers U11 Boys TASL","Wahrill Soccer Complex Field 2","U11","Boys"
"CUSC Panthers U11 Boys TASL","Beach FC Dragons U11 Boys TASL","Centerville Complex Field 9","U11","Boys"
"Beach FC Scorpions U11 Boys TASL","CUSC Panthers U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"CSL Famous Strikers U11 Boys TASL","Beach FC Dragons U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"CSL Famous Strikers U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"Beach FC Dragons U11 Boys TASL","Suffolk Arsenal U11 Boys TASL","Lake Taylor Soccer Complex Field 10","U11","Boys"
"Suffolk Arsenal U11 Boys TASL","CSL Famous Strikers U11 Boys TASL","SYAA field 5","U11","Boys"
"TSA Rovers FC U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Wahrill Soccer Complex Field 2","U11","Boys"
"Beach FC Ninjas U11 Boys TASL","TSA Rovers FC U11 Boys TASL","Hampton Roads Soccer Complex Field 13A","U11","Boys"
"CUSC Panthers U11 Boys TASL","Suffolk Arsenal U11 Boys TASL","Centerville Complex Field 9","U11","Boys"
"CUSC Blues U12 Boys TASL","Beach FC Coastal Kickers U12 Boys TASL","Centerville Complex Field 9","U12","Boys"
"CUSC Blues U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Centerville Complex Field 9","U12","Boys"
"Beach FC Coastal Kickers U12 Boys TASL","Beach FC Ghent Racers U12 Boys TASL","Hampton Roads Soccer Complex Field 13C","U12","Boys"
"Beach FC Ghent Racers U12 Boys TASL","CUSC Blues U12 Boys TASL","Hampton Roads Soccer Complex Field 13C","U12","Boys"
"Beach FC Coastal Kickers U12 Boys TASL","Beach FC Sting U12 Boys TASL","Hampton Roads Soccer Complex Field 13B","U12","Boys"
"Beach FC Sonics U12 Boys TASL","Beach FC Coastal Kickers U12 Boys TASL","Hampton Roads Soccer Complex Field 13B","U12","Boys"
"Beach FC Ghent Racers U12 Boys TASL","CUSC Blues U12 Boys TASL","Lake Taylor Soccer Complex Field 10","U12","Boys"
"Beach FC Strikers U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Hampton Roads Soccer Complex Field 13C","U12","Boys"
"Beach FC Coastal Kickers U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Hampton Roads Soccer Complex Field 13C","U12","Boys"
"Beach FC Coastal Kickers U12 Boys TASL","Beach FC Strikers U12 Boys TASL","Hampton Roads Soccer Complex Field 13C","U12","Boys"
"CUSC Blues U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Centerville Complex Field 9","U12","Boys"
"Beach FC Ghent Racers U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Lake Taylor Soccer Complex Field 10","U12","Boys"
"Beach FC Strikers U12 Boys TASL","CUSC Blues U12 Boys TASL","Lake Taylor Soccer Complex Field 10","U12","Boys"
"Beach FC Strikers U12 Boys TASL","Beach FC Ghent Racers U12 Boys TASL","Lake Taylor Soccer Complex Field 10","U12","Boys"
"Beach FC Sonics U12 Boys TASL","Beach FC Sting U12 Boys TASL","Hampton Roads Soccer Complex Field 13A","U12","Boys"
"Beach FC Sting U12 Boys TASL","Beach FC Ghent Racers U12 Boys TASL","Hampton Roads Soccer Complex Field 13B","U12","Boys"
"Beach FC Sonics U12 Boys TASL","Beach FC Sting U12 Boys TASL","Hampton Roads Soccer Complex Field 13C","U12","Boys"
