"Home","Away","Age.Group","Field","Gender"
"McLean 2004 U14 Male CCL","FC Richmond 2004 U14 Male CCL","U14","Spring Hill Recreation Center #2","Boys"
"Loudoun 2004 U14 Female CCL","SOCA 2004 U14 Female CCL","U14","Philip Bolen Park #2","Girls"
"NVSC 2004 U14 Female CCL","FC Frederick 2004 U14 Female CCL","U14","Hellwig Park #2","Girls"
"SYA 2004 U14 Female CCL","Arlington 2004 U14 Female CCL","U14","SYA Sports Park #4","Girls"
"McLean 2004 U14 Female CCL","FC Richmond 2004 U14 Female CCL","U14","Spring Hill Recreation Center #2","Girls"
"Loudoun 2005 U13 Male CCL","SOCA 2005 U13 Male CCL","U13","Loudoun Soccer Park #1","Boys"
"NVSC 2005 U13 Male CCL","FC Frederick 2005 U13 Male CCL","U13","Hellwig Park #2","Boys"
"SYA 2005 U13 Male CCL","Arlington 2005 U13 Male CCL","U13","SYA Sports Park #4","Boys"
"McLean 2005 U13 Male CCL","FC Richmond 2005 U13 Male CCL","U13","Spring Hill Recreation Center #2","Boys"
"Loudoun 2005 U13 Female CCL","SOCA 2005 U13 Female CCL","U13","Loudoun Soccer Park #1","Girls"
"NVSC 2005 U13 Female CCL","FC Frederick 2005 U13 Female CCL","U13","Hellwig Park #2","Girls"
"SYA 2005 U13 Female CCL","Arlington 2005 U13 Female CCL","U13","SYA Sports Park #4","Girls"
"McLean 2005 U13 Female CCL","FC Richmond 2005 U13 Female CCL","U13","Spring Hill Recreation Center #2","Girls"
"Loudoun 2006 U12 Male CCL","SOCA 2006 U12 Male CCL","U12","Philip Bolen Park #1","Boys"
"NVSC 2006 U12 Male CCL","FC Frederick 2006 U12 Male CCL","U12","Hellwig Park #3","Boys"
"SYA 2006 U12 Male CCL","Arlington 2006 U12 Male CCL","U12","SYA Sports Park #2","Boys"
"McLean 2006 U12 Male CCL","FC Richmond 2006 U12 Male CCL","U12","Spring Hill Recreation Center #3","Boys"
"Loudoun 2006 U12 Female CCL","SOCA 2006 U12 Female CCL","U12","Philip Bolen Park #16","Girls"
"NVSC 2006 U12 Female CCL","FC Frederick 2006 U12 Female CCL","U12","Hellwig Park #3","Girls"
"SYA 2006 U12 Female CCL","Arlington 2006 U12 Female CCL","U12","SYA Sports Park #2","Girls"
"McLean 2006 U12 Female CCL","FC Richmond 2006 U12 Female CCL","U12","Spring Hill Recreation Center #3","Girls"
"Loudoun 2007 U11 Male CCL","SOCA 2007 U11 Male CCL","U11","Philip Bolen Park #16","Boys"
"NVSC 2007 U11 Male CCL","FC Frederick 2007 U11 Male CCL","U11","Hellwig Park #3","Boys"
"SYA 2007 U11 Male CCL","Arlington 2007 U11 Male CCL","U11","SYA Sports Park #2","Boys"
"McLean 2007 U11 Male CCL","FC Richmond 2007 U11 Male CCL","U11","Spring Hill Recreation Center #3","Boys"
"Loudoun 2007 U11 Female CCL","SOCA 2007 U11 Female CCL","U11","Philip Bolen Park #16","Girls"
"NVSC 2007 U11 Female CCL","FC Frederick 2007 U11 Female CCL","U11","Hellwig Park #3","Girls"
"SYA 2007 U11 Female CCL","Arlington 2007 U11 Female CCL","U11","SYA Sports Park #2","Girls"
"McLean 2007 U11 Female CCL","FC Richmond 2007 U11 Female CCL","U11","Spring Hill Recreation Center #3","Girls"
"Arlington 1999 U19 Female CCL","McLean 1999 U19 Female CCL","U19","Gunston Middle School #1","Girls"
"Arlington 2000 U18 Female CCL","McLean 2000 U18 Female CCL","U18",,"Girls"
"SYA 2008 U10 Male CCL","NVSC 2008 U10 Male CCL","U10","EC Lawrence Park #3a","Boys"
"Loudoun 2008 U10 Male CCL","Arlington 2008 U10 Male CCL","U10","Philip Bolen Park #14b","Boys"
"Potomac 2008 U10 Male CCL","DC Stoddert 2008 U10 Male CCL","U10","Muldoon’s Farm #6a","Boys"
"LMVSC 2008 U10 Male CCL","Ellicott City 2008 U10 Male CCL","U10",,"Boys"
"LMVSC 2008 U10 Male CCL","Fredericksburg FC 2008 U10 Male CCL","U10",,"Boys"
"LMVSC 2008 U10 Male CCL","FCSC United 2008 U10 Male CCL","U10",,"Boys"
"Loudoun 2008 U10 Female CCL","Arlington 2008 U10 Female CCL","U10","Philip Bolen Park #14a","Girls"
"Potomac 2008 U10 Female CCL","DC Stoddert 2008 U10 Female CCL","U10","Muldoon’s Farm #6a","Girls"
"LMVSC 2008 U10 Female CCL","Ellicott City 2008 U10 Female CCL","U10",,"Girls"
"LMVSC 2008 U10 Female CCL","Fredericksburg FC 2008 U10 Female CCL","U10",,"Girls"
"LMVSC 2008 U10 Female CCL","FCSC United 2008 U10 Female CCL","U10",,"Girls"
"SYA 2008 U10 Male CCL","NVSC 2008 U10 Male CCL","U10","EC Lawrence Park #3a","Boys"
"SYA 2008 U10 Female CCL","NVSC 2008 U10 Female CCL","U10","EC Lawrence Park #3b","Girls"
"SYA 2008 U10 Female CCL","NVSC 2008 U10 Female CCL","U10","EC Lawrence Park #3b","Girls"
"SYA 2008 U10 Male CCL","NVSC 2008 U10 Male CCL","U10","EC Lawrence Park #3a","Boys"
"Loudoun 2008 U10 Male CCL","Arlington 2008 U10 Male CCL","U10","Philip Bolen Park #14b","Boys"
"Loudoun 2008 U10 Male CCL","Arlington 2008 U10 Male CCL","U10","Philip Bolen Park #14b","Boys"
"Loudoun 2008 U10 Female CCL","Arlington 2008 U10 Female CCL","U10","Philip Bolen Park #14a","Girls"
"Loudoun 2008 U10 Female CCL","Arlington 2008 U10 Female CCL","U10","Philip Bolen Park #14a","Girls"
"McLean 2008 U10 Male CCL","SYC 2008 U10 Male CCL","U10","Spring Hill Recreation Center #5a","Boys"
"McLean 2008 U10 Male CCL","SYC 2008 U10 Male CCL","U10","Spring Hill Recreation Center #5a","Boys"
"McLean 2008 U10 Male CCL","SYC 2008 U10 Male CCL","U10","Spring Hill Recreation Center #5a","Boys"
"McLean 2008 U10 Female CCL","SYC 2008 U10 Female CCL","U10","Spring Hill Recreation Center #5b","Girls"
"McLean 2008 U10 Female CCL","SYC 2008 U10 Female CCL","U10","Spring Hill Recreation Center #5b","Girls"
"McLean 2008 U10 Female CCL","SYC 2008 U10 Female CCL","U10","Spring Hill Recreation Center #5b","Girls"
"Potomac 2008 U10 Female CCL","DC Stoddert 2008 U10 Female CCL","U10","Muldoon’s Farm #6b","Girls"
"Potomac 2008 U10 Male CCL","DC Stoddert 2008 U10 Male CCL","U10","Muldoon’s Farm #6a","Boys"
"Potomac 2008 U10 Male CCL","DC Stoddert 2008 U10 Male CCL","U10","Muldoon’s Farm #6b","Boys"
"Potomac 2008 U10 Female CCL","DC Stoddert 2008 U10 Female CCL","U10","Muldoon’s Farm #6a","Girls"
"Loudoun 2009 U09 Male CCL","Arlington 2009 U09 Male CCL","U09","Philip Bolen Park #14b","Boys"
"McLean 2009 U09 Male CCL","SYC 2009 U09 Male CCL","U09","Spring Hill Recreation Center #5a","Boys"
"Potomac 2009 U09 Male CCL","DC Stoddert 2009 U09 Male CCL","U09","Muldoon’s Farm #6a","Boys"
"LMVSC 2009 U09 Male CCL","Ellicott City 2009 U09 Male CCL","U09",,"Boys"
"LMVSC 2009 U09 Male CCL","FCSC United 2009 U09 Male CCL","U09",,"Boys"
"Loudoun 2009 U09 Female CCL","Arlington 2009 U09 Female CCL","U09","Philip Bolen Park #14a","Girls"
"McLean 2009 U09 Female CCL","SYC 2009 U09 Female CCL","U09","Spring Hill Recreation Center #5b","Girls"
"Potomac 2009 U09 Female CCL","DC Stoddert 2009 U09 Female CCL","U09","Muldoon’s Farm #6b","Girls"
"SYA 2009 U09 Female CCL","NVSC 2009 U09 Female CCL","U09","EC Lawrence Park #3b","Girls"
"LMVSC 2009 U09 Female CCL","Ellicott City 2009 U09 Female CCL","U09",,"Girls"
"LMVSC 2009 U09 Female CCL","FCSC United 2009 U09 Female CCL","U09",,"Girls"
"SYA 2009 U09 Male CCL","NVSC 2009 U09 Male CCL","U09","EC Lawrence Park #3a","Boys"
"SYA 2009 U09 Male CCL","NVSC 2009 U09 Male CCL","U09","EC Lawrence Park #3a","Boys"
"SYA 2009 U09 Female CCL","NVSC 2009 U09 Female CCL","U09","EC Lawrence Park #3b","Girls"
"Loudoun 2009 U09 Male CCL","Arlington 2009 U09 Male CCL","U09","Philip Bolen Park #14b","Boys"
"Loudoun 2009 U09 Male CCL","Arlington 2009 U09 Male CCL","U09","Philip Bolen Park #14b","Boys"
"Loudoun 2009 U09 Female CCL","Arlington 2009 U09 Female CCL","U09","Philip Bolen Park #14a","Girls"
"Loudoun 2009 U09 Female CCL","Arlington 2009 U09 Female CCL","U09","Philip Bolen Park #14a","Girls"
"Potomac 2009 U09 Male CCL","DC Stoddert 2009 U09 Male CCL","U09","Muldoon’s Farm #6a","Boys"
"Potomac 2009 U09 Female CCL","DC Stoddert 2009 U09 Female CCL","U09","Muldoon’s Farm #6b","Girls"
"McLean 2009 U09 Male CCL","SYC 2009 U09 Male CCL","U09","Spring Hill Recreation Center #5a","Boys"
"McLean 2009 U09 Male CCL","SYC 2009 U09 Male CCL","U09","Spring Hill Recreation Center #5a","Boys"
"McLean 2009 U09 Female CCL","SYC 2009 U09 Female CCL","U09","Spring Hill Recreation Center #5b","Girls"
"McLean 2009 U09 Female CCL","SYC 2009 U09 Female CCL","U09",,"Girls"
"Potomac 2009 U09 Male CCL","DC Stoddert 2009 U09 Male CCL","U09","Muldoon’s Farm #6b","Boys"
"FC Frederick 1999 U19 Male CCL","Arlington 1999 U19 Male CCL","U19","Oakdale High School #Aux","Boys"
"Ellicott City 1999 U19 Male CCL","LMVSC 1999 U19 Male CCL","U19","Troy Park #4","Boys"
"Fredericksburg FC 1999 U19 Male CCL","Virginia Legacy 1999 U19 Male CCL","U19","FFC Park #10","Boys"
"NVSC 1999 U19 Male CCL","Potomac 1999 U19 Male CCL","U19","Hellwig Park #8","Boys"
"McLean 1999 U19 Male CCL","Roanoke Star 1999 U19 Male CCL","U19","Linway","Boys"
"FC Richmond 1999 U19 Male CCL","Beach FC 1999 U19 Male CCL","U19","Huguenot Park #3","Boys"
"SOCA 1999 U19 Male CCL","SYA 1999 U19 Male CCL","U19","SOCA South Fork Soccer Park #4","Boys"
"FC Frederick 1999 U19 Female CCL","Arlington 1999 U19 Female CCL","U19","Oakdale High School #Aux","Girls"
"DC Stoddert 1999 U19 Female CCL","Loudoun 1999 U19 Female CCL","U19","Maryland SoccerPlex #6","Girls"
"Fredericksburg FC 1999 U19 Female CCL","Virginia Legacy 1999 U19 Female CCL","U19",,"Girls"
"NVSC 1999 U19 Female CCL","Potomac 1999 U19 Female CCL","U19",,"Girls"
"McLean 1999 U19 Female CCL","Roanoke Star 1999 U19 Female CCL","U19","Lewinsville Park #2","Girls"
"Virginia Legacy 1999 U19 Female CCL","Beach FC 1999 U19 Female CCL","U19","Hampton Roads Soccer Complex #15","Girls"
"SOCA 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19",,"Girls"
"Beach FC 1999 U19 Female CCL","Virginia Legacy 1999 U19 Female CCL","U19",,"Girls"
"FC Richmond 1999 U19 Female CCL","Beach FC 1999 U19 Female CCL","U19",,"Girls"
"FC Frederick 2000 U18 Male CCL","Arlington 2000 U18 Male CCL","U18","Ballenger Creek Park #Turf","Boys"
"Ellicott City 2000 U18 Male CCL","LMVSC 2000 U18 Male CCL","U18","Troy Park #4","Boys"
"Fredericksburg FC 2000 U18 Male CCL","Virginia Legacy 2000 U18 Male CCL","U18","FFC Park #10","Boys"
"NVSC 2000 U18 Male CCL","Potomac 2000 U18 Male CCL","U18","Hellwig Park #8","Boys"
"McLean 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18",,"Boys"
"FC Richmond 2000 U18 Male CCL","Beach FC 2000 U18 Male CCL","U18",,"Boys"
"SOCA 2000 U18 Male CCL","SYA 2000 U18 Male CCL","U18","SOCA South Fork Soccer Park #4","Boys"
