"Home","Away","Field"
"Carolina Elite Soccer Academy ECNL U18/U19","South Carolina United ECNL U18/U19","Mesa Complex - Field 5"
"Carolina Rapids ECNL U18/U19","South Carolina United ECNL U18/U19","Matthews Sportsplex - Field 9"
"Richmond United ECNL U18/U19","McLean YSA ECNL U18/U19","West Creek - Field 10"
"Carolina Elite Soccer Academy ECNL U18/U19","NC Fusion ECNL U18/U19","Mesa Complex - Field 5"
"NCFC Youth ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","WRAL Soccer Center - Stadium"
"NCFC Youth ECNL U18/U19","McLean YSA ECNL U18/U19","WRAL Soccer Center - Stadium"
"BRYC Elite Academy ECNL U18/U19","Richmond United ECNL U18/U19","Woodson High School - Auxiliary Turf Field"
"Carolina Elite Soccer Academy ECNL U18/U19","Carolina Rapids ECNL U18/U19","Mesa Complex - Field 5"
"NC Fusion ECNL U18/U19","South Carolina United ECNL U18/U19","BP Field - BP 02 Triton Management"
"Carolina Elite Soccer Academy ECNL U18/U19","Richmond United ECNL U18/U19","Mesa Complex - Field 5"
"McLean YSA ECNL U18/U19","Carolina Rapids ECNL U18/U19","Lewinsville Park - Field 2"
"South Carolina United ECNL U18/U19","NCFC Youth ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A"
"BRYC Elite Academy ECNL U18/U19","NC Fusion ECNL U18/U19","Woodson High School - Auxiliary Turf Field"
"Carolina Elite Soccer Academy ECNL U18/U19","NCFC Youth ECNL U18/U19","Mesa Complex - Field 5"
"South Carolina United ECNL U18/U19","Richmond United ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A"
"McLean YSA ECNL U18/U19","NC Fusion ECNL U18/U19","Lewinsville Park - Field 2"
"BRYC Elite Academy ECNL U18/U19","Carolina Rapids ECNL U18/U19","Robinson High School - Upper Turf"
"NC Fusion ECNL U18/U19","Richmond United ECNL U18/U19","BBandT Soccer Park - Field 5"
"McLean YSA ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","Lewinsville Park - Field 2"
"BRYC Elite Academy ECNL U18/U19","South Carolina United ECNL U18/U19","Robinson High School - Upper Turf"
"Carolina Rapids ECNL U18/U19","NCFC Youth ECNL U18/U19","Ramblewood - Field 8"
"Carolina Rapids ECNL U18/U19","Richmond United ECNL U18/U19","Matthews Sportsplex - Field 9"
"BRYC Elite Academy ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","Robinson High School - Upper Turf"
"McLean YSA ECNL U18/U19","South Carolina United ECNL U18/U19","Spring Hill Rec Center - Field 5"
"NC Fusion ECNL U18/U19","NCFC Youth ECNL U18/U19","BP Field - BP 07"
"BRYC Elite Academy ECNL U18/U19","NCFC Youth ECNL U18/U19","Woodson High School - Auxiliary Turf Field"
"South Carolina United ECNL U18/U19","Carolina Rapids ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A"
"McLean YSA ECNL U18/U19","Richmond United ECNL U18/U19","Lewinsville Park - Field 2"
"NC Fusion ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","BP Field - BP 07"
"NCFC Youth ECNL U18/U19","South Carolina United ECNL U18/U19","Bryan Park - Field 11"
"Carolina Rapids ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","Bailey Road Park - Field 2 (lower)"
"NC Fusion ECNL U18/U19","McLean YSA ECNL U18/U19","BP Field - BP 02 Triton Management"
"Richmond United ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","River City Sportsplex - Field 12"
"NC Fusion ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","BP Field - BP 03 Wrangler"
"Carolina Rapids ECNL U18/U19","McLean YSA ECNL U18/U19","Ramblewood - Field 8"
"Richmond United ECNL U18/U19","South Carolina United ECNL U18/U19","River City Sportsplex - Field 12"
"NCFC Youth ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","Bryan Park - Field 11"
"South Carolina United ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","River Bluff High School Stadium - Stadium"
"Carolina Rapids ECNL U18/U19","NC Fusion ECNL U18/U19","Bailey Road Park - Field 2 (lower)"
"Carolina Elite Soccer Academy ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","Mesa Complex - Field 5"
"Richmond United ECNL U18/U19","Carolina Rapids ECNL U18/U19","Ukrop Park - Turf Field 1"
"South Carolina United ECNL U18/U19","McLean YSA ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A"
"NCFC Youth ECNL U18/U19","NC Fusion ECNL U18/U19","WRAL Soccer Center - Stadium"
"Carolina Elite Soccer Academy ECNL U18/U19","McLean YSA ECNL U18/U19","Mesa Complex - Field 5"
"Richmond United ECNL U18/U19","NC Fusion ECNL U18/U19","Ukrop Park - Turf Field 1"
"NCFC Youth ECNL U18/U19","Carolina Rapids ECNL U18/U19","WRAL Soccer Center - Stadium"
"South Carolina United ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A"
"BRYC Elite Academy ECNL U18/U19 Composite","Carolina Rapids ECNL U18/U19 Composite","Robinson High School - Upper Turf"
"Carolina Rapids ECNL U18/U19 Composite","BRYC Elite Academy ECNL U18/U19 Composite","Bailey Road Park - Field 1 (upper)"
