"GMDATE","GMTIME","GAMECODE","HOME_TEAMCODE","HOME_TEAM","FINAL1","FINAL2","AWAY_TEAMCODE","AWAY_TEAM","FIELD","DIVISION","LEAGUE"
"09/17/2017","11:00 AM","1307","OD0662B","PAC Elite 06 Gold",1,2,"OD0591B","WBSC Strikers 06B White","Luther Jackson MS Field #3","U12 Division B3","ODSL"
"09/17/2017","03:00 PM","2158","OD0379B","PAC Elite 04 Gold",1,6,"OD04122B","PWSI Courage Boys 2004 Pride","Shrevewood ES #1","U14 Division B2","ODSL"
"10/01/2017","03:00 PM","1668","OD0484B","PAC Elite 05 Gold",0,4,"OD0466B","WYSC Mustangs 05B","Shrevewood ES #1","U13 Division B1","ODSL"
"10/14/2017","03:00 PM","2193","OD0379B","PAC Elite 04 Gold",4,0,"OD04110B","TCSC 04 Sounders FC","Falls Church HS Turf Field","U14 Division B2","ODSL"
"10/21/2017","01:30 PM","2176","OD0379B","PAC Elite 04 Gold",0,7,"OD04116B","CULP CSC Comets 04B","Falls Church HS Turf Field","U14 Division B2","ODSL"
"10/22/2017","11:00 AM","1321","OD0662B","PAC Elite 06 Gold",8,1,"OD0641B","FRED '06 Gray","Luther Jackson MS Field #3","U12 Division B3","ODSL"
"10/22/2017","03:00 PM","1678","OD0484B","PAC Elite 05 Gold",0,3,"OD0400B","ALEX 05 Boys Black","Shrevewood ES #1","U13 Division B1","ODSL"
"10/29/2017","11:00 AM","1328","OD0662B","PAC Elite 06 Gold",5,2,"OD0659B","ABGC United Black 06","Luther Jackson MS Field #3","U12 Division B3","ODSL"
"11/04/2017","03:30 PM","2183","OD0379B","PAC Elite 04 Gold",0,4,"OD04118B","TAFC Team America 2004 Revolution","Falls Church HS Turf Field","U14 Division B2","ODSL"
"11/04/2017","04:00 PM","1683","OD0484B","PAC Elite 05 Gold",1,3,"OD0575B","DFC Scorpions","Shrevewood ES #1","U13 Division B1","ODSL"
"11/05/2017","03:00 PM","1688","OD0484B","PAC Elite 05 Gold",0,13,"OD0590B","MSC Lions 05","Shrevewood ES #1","U13 Division B1","ODSL"
"09/09/2017","09:00 AM","2159","OD04117B","PWSI Courage Boys 2004 Classic",8,1,"OD04118B","TAFC Team America 2004 Revolution","Tyrell Field Complex Tyrell #4","U14 Division B2","ODSL"
"09/09/2017","10:30 AM","2832","OD01159B","PWSI Courage Boys 2001 Pride",5,1,"OD01157B","FFC 01 Boys Red","Tyrell Field Complex Tyrell #4","HS Division B1","ODSL"
"09/09/2017","12:00 PM","422","OD0830B","PWSI Courage Boys 2008 Pride",7,3,"OD0821B","GRFL 08 Lazio White","Howison Homestead Park Field #3B","U10 Division B3","ODSL"
"09/09/2017","12:30 PM","2427","OD02146G","PWSI Courage Girls 2002 Pride",6,1,"OD03123G","OCRA Freedom","Tyrell Field Complex Tyrell #4","U15-16 Division G1","ODSL"
"09/09/2017","01:30 PM","541","OD0841G","PWSI Courage Girls 2008 Pride",1,2,"OD0839G","GSC 08 Girls White","Howison Homestead Park Field #3B","U10 Division G1","ODSL"
"09/09/2017","02:30 PM","2187","OD04122B","PWSI Courage Boys 2004 Pride",4,1,"OD04116B","CULP CSC Comets 04B","Tyrell Field Complex Tyrell #4","U14 Division B2","ODSL"
"09/09/2017","03:00 PM","955","OD0738G","PWSI Courage Girls 2007 Pride",2,0,"OD0739G","TAFC 07 Freedom","Howison Homestead Park Field #3B","U11 Division G2","ODSL"
"09/09/2017","04:00 PM","2301","OD04123G","PWSI Courage Girls 2004 Classic",5,0,"OD04124G","SYA Wolves","Tyrell Field Complex Tyrell #4","U14 Division G2","ODSL"
"09/10/2017","12:00 PM","2154","OD04122B","PWSI Courage Boys 2004 Pride",4,1,"OD0486B","WYSC Mustangs 04B","Tyrell Field Complex Tyrell #3","U14 Division B2","ODSL"
"09/10/2017","12:00 PM","2802","OD01159B","PWSI Courage Boys 2001 Pride",4,0,"OD01154B","RWFC Vipers FC","Tyrell Field Complex Tyrell #1","HS Division B1","ODSL"
"09/10/2017","02:00 PM","540","OD0841G","PWSI Courage Girls 2008 Pride",1,5,"OD0840G","LFC Thunder","Howison Homestead Park Howison #2B","U10 Division G1","ODSL"
"09/16/2017","11:00 AM","1660","OD0594B","PWSI Courage Boys 2005 Classic",1,2,"OD0587B","WIN 2005 Blue","Tyrell Field Complex Tyrell #2","U13 Division B1","ODSL"
"09/16/2017","02:30 PM","2184","OD04117B","PWSI Courage Boys 2004 Classic",8,1,"OD04101B","LOUD 04B Silver","Tyrell Field Complex Tyrell #2","U14 Division B2","ODSL"
"09/16/2017","04:00 PM","2304","OD04123G","PWSI Courage Girls 2004 Classic",4,0,"OD04119G","CYC Cougars 04G","Tyrell Field Complex Tyrell #2","U14 Division G2","ODSL"
"09/24/2017","12:00 PM","2812","OD01159B","PWSI Courage Boys 2001 Pride",10,1,"OD01156B","CHAN United 01","Tyrell Field Complex Tyrell #1","HS Division B1","ODSL"
"09/24/2017","01:00 PM","2162","OD04117B","PWSI Courage Boys 2004 Classic",17,0,"OD04110B","TCSC 04 Sounders FC","Tyrell Field Complex Tyrell #3","U14 Division B2","ODSL"
"09/24/2017","02:00 PM","2255","OD04105G","PWSI Courage Girls 2004 Pride",2,2,"OD04104G","DFC United","Tyrell Field Complex Tyrell #1","U14 Division G1","ODSL"
"09/24/2017","02:30 PM","2163","OD04122B","PWSI Courage Boys 2004 Pride",7,1,"OD03101B","CYA 04B White","Tyrell Field Complex Tyrell #4","U14 Division B2","ODSL"
