"Names","Street.Address","City","State","Zip.Code"
"James Madison HS","2500 James Madison Dr","Vienna","VA","22181"
"James Wood HS Multipurpose","Apple Pie Ridge Rd","Winchester","VA","22601"
"Jamestown ES","VA",,,
"JEB Stuart HS","3301 Peace Valley Ln","Falls Church","VA","22044"
"Jefferson MS","801 7th Street","SW","Washington","DC"
"Jefferson-Houston School","1501 Cameron Street","Alexandria","VA","22314"
"Jelleff Boys and Girls Club","3265 S Street NW","Washington","DC",
"John C Myers ES","Turner ave and Raider Road","Broadway","VA","22815"
"John Champe HS","41535 Sacred Mountain Street","Aldie","VA","20105"
"John Lee Pratt Memorial Park","120 River Rd","Stafford County","VA","22405"
"John W Tolbert Jr ES","691 Potomac Station Drive","NE","Leesburg","VA"
"Johnson Williams MS","Lincoln Ave","Berryville","VA","20136"
"Jones Branch Park","8008 Jones Branch Drive","McLean","VA","22102"
"Jones Point Park","VA",,,
