Field,Team1,Team2,Age.Group,Gender
Rockfish River ES,FYSA U14 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,U15,Boys
Hoover Ridge Large,Madison U15 Boys U15 Boys SCSL,GFC United U14 Boys U15 Boys SCSL,U15,Boys
Zions Crossroads #1,FYSA U14 Boys U15 Boys SCSL,Madison U15 Boys U15 Boys SCSL,U15,Boys
z - Augusta,SOCA Cville U15 Boys Premier U15 Boys SCSL,SOCA Augusta U15 Boys Premier U15 Boys SCSL,U15,Boys
z - New River United,NRU U14 Boys Blue U15 Boys SCSL,CVU U15 Boys Premier U15 Boys SCSL,U15,Boys
z - Charlottesville,SOCA Cville U15 Boys Premier U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL,U15,Boys
z - Augusta,SOCA Augusta U15 Boys Premier U15 Boys SCSL,NRU U14 Boys Blue U15 Boys SCSL,U15,Boys
z - Central Virginia United,CVU U15 Boys Premier U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
z - New River United,NRU U14 Boys Blue U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
z - Shenandoah Valley United,CVU U15 Boys Premier U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL,U15,Boys
z - New River United,SOCA Cville U15 Boys Premier U15 Boys SCSL,NRU U14 Boys Blue U15 Boys SCSL,U15,Boys
z - Augusta,SOCA Augusta U15 Boys Premier U15 Boys SCSL,CVU U15 Boys Premier U15 Boys SCSL,U15,Boys
z - Valley AFC,SVU U15 Boys U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
z - New River United,NRU U14 Boys Blue U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL,U15,Boys
z - Valley AFC,SOCA Cville U15 Boys Premier U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
z - Shenandoah Valley United,SOCA Augusta U15 Boys Premier U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL,U15,Boys
z - Charlottesville,SOCA Cville U15 Boys Premier U15 Boys SCSL,NRU U14 Boys Blue U15 Boys SCSL,U15,Boys
z - Central Virginia United,SOCA Augusta U15 Boys Premier U15 Boys SCSL,CVU U15 Boys Premier U15 Boys SCSL,U15,Boys
z - Shenandoah Valley United,SVU U15 Boys U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
z - Charlottesville,SOCA Cville U15 Boys Premier U15 Boys SCSL,SOCA Augusta U15 Boys Premier U15 Boys SCSL,U15,Boys
z - Shenandoah Valley United,SOCA Cville U15 Boys Premier U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL,U15,Boys
z - Valley AFC,CVU U15 Boys Premier U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
z - Valley AFC,SOCA Augusta U15 Boys Premier U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
z - Shenandoah Valley United,NRU U14 Boys Blue U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL,U15,Boys
z - Valley AFC,NRU U14 Boys Blue U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
