"Home","Away","Field"
"CSL Avengers U11 Boys TASL","CSL Challengers U11 Boys TASL","Churchland Park Field  1"
"Beach FC Thunder U11 Boys TASL","Carolina Lightning U11 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Strikers U11 Boys TASL","AYSO Arsenal U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Thunder U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Lake Taylor Soccer Complex Field 10"
"CSL Challengers U11 Boys TASL","WBSC Legends U11 Boys TASL","Churchland Park Field  1"
"Beach FC Raptors U11 Boys TASL","CSL Avengers U11 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Thunder U11 Boys TASL","AYSO Arsenal U11 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Carolina Lightning U11 Boys TASL","CSL Challengers U11 Boys TASL","Albemarle School Field 1"
"CSL Famous Strikers U11 Boys TASL","Beach FC Scorpions U11 Boys TASL","Churchland Park Field  1"
"Suffolk Arsenal U11 Boys TASL","CUSC Panthers U11 Boys TASL","SYAA field 5"
"CUSC Panthers U11 Boys TASL","CSL Famous Strikers U11 Boys TASL","Centerville Complex Field 9"
"Beach FC Strikers 2 U11 Boys TASL","Suffolk Arsenal U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Suffolk Arsenal U11 Boys TASL","Beach FC Scorpions U11 Boys TASL","SYAA field 5"
"Beach FC Strikers 2 U11 Boys TASL","CUSC Panthers U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Scorpions U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Ninjas U11 Boys TASL","Suffolk Arsenal U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Strikers 2 U11 Boys TASL","Beach FC Ninjas U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Suffolk Arsenal U11 Boys TASL","TSA Rovers FC U11 Boys TASL","SYAA field 5"
"Beach FC Ninjas U11 Boys TASL","Beach FC Scorpions U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"TSA Rovers FC U11 Boys TASL","CUSC Panthers U11 Boys TASL","Wahrill Soccer Complex Field 2"
"CUSC Panthers U11 Boys TASL","Beach FC Ninjas U11 Boys TASL","Centerville Complex Field 9"
"Beach FC Dragons U11 Boys TASL","Beach FC Scorpions U11 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Dragons U11 Boys TASL","Beach FC Strikers 2 U11 Boys TASL","Lake Taylor Soccer Complex Field 11"
"Beach FC Scorpions U11 Boys TASL","CSL Famous Strikers U11 Boys TASL","Hampton Roads Soccer Complex Field 13A"
"Beach FC Ninjas U11 Boys TASL","Beach FC Dragons U11 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Strikers 2 U11 Boys TASL","Beach FC Dragons U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"TSA Rovers FC U11 Boys TASL","Beach FC Ninjas U11 Boys TASL","Wahrill Soccer Complex Field 2"
"Beach FC Scorpions U11 Boys TASL","TSA Rovers FC U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Dragons U11 Boys TASL","TSA Rovers FC U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"CSL Famous Strikers U11 Boys TASL","Beach FC Ninjas U11 Boys TASL","Churchland Park Field  1"
"TSA Rovers FC U11 Boys TASL","CSL Famous Strikers U11 Boys TASL","Wahrill Soccer Complex Field 2"
"CUSC Panthers U11 Boys TASL","Beach FC Dragons U11 Boys TASL","Centerville Complex Field 9"
"Beach FC Scorpions U11 Boys TASL","CUSC Panthers U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"CSL Famous Strikers U11 Boys TASL","Beach FC Dragons U11 Boys TASL","Churchland Park Field  1"
"CSL Famous Strikers U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Churchland Park Field  1"
"Beach FC Dragons U11 Boys TASL","Suffolk Arsenal U11 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Suffolk Arsenal U11 Boys TASL","CSL Famous Strikers U11 Boys TASL","SYAA field 5"
"TSA Rovers FC U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Wahrill Soccer Complex Field 2"
"Beach FC Ninjas U11 Boys TASL","TSA Rovers FC U11 Boys TASL","Hampton Roads Soccer Complex Field 13A"
"CUSC Panthers U11 Boys TASL","Suffolk Arsenal U11 Boys TASL","Centerville Complex Field 9"
"CUSC Blues U12 Boys TASL","Beach FC Coastal Kickers U12 Boys TASL","Centerville Complex Field 9"
"CUSC Blues U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Centerville Complex Field 9"
"Beach FC Coastal Kickers U12 Boys TASL","Beach FC Ghent Racers U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Ghent Racers U12 Boys TASL","CUSC Blues U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Coastal Kickers U12 Boys TASL","Beach FC Sting U12 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Sonics U12 Boys TASL","Beach FC Coastal Kickers U12 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Ghent Racers U12 Boys TASL","CUSC Blues U12 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Strikers U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Coastal Kickers U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Coastal Kickers U12 Boys TASL","Beach FC Strikers U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"CUSC Blues U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Centerville Complex Field 9"
"Beach FC Ghent Racers U12 Boys TASL","Beach FC Sonics U12 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Strikers U12 Boys TASL","CUSC Blues U12 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Strikers U12 Boys TASL","Beach FC Ghent Racers U12 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Sonics U12 Boys TASL","Beach FC Sting U12 Boys TASL","Hampton Roads Soccer Complex Field 13A"
"Beach FC Sting U12 Boys TASL","Beach FC Ghent Racers U12 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Sonics U12 Boys TASL","Beach FC Sting U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Strikers U12 Boys TASL","Beach FC Ghent Racers U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Strikers U12 Boys TASL","Beach FC Sting U12 Boys TASL","Lake Taylor Soccer Complex Field 10"
